Date,NFP M/M - 1 Month Ahead,NFP M/M - Next 3 Months,1M Chg - 3M Avg,3M Avg - Prev. 3M Avg.
6/30/1959,123,-253,-156.33,-87.33
5/31/1959,131,-214,-52,39.33
4/30/1959,229,483,-2.67,-50
3/31/1959,307,667,78,116.67
2/28/1959,326,862,-121,11
1/31/1959,210,843,200,182.33
12/31/1958,393,929,-96,-4.33
11/30/1958,141,744,310.33,130.67
10/31/1958,459,993,-218.33,144.67
9/30/1958,-21,579,166.67,325.67
8/31/1958,273,711,190,327
7/31/1958,194,446,253.33,353.67
6/30/1958,125,592,220.67,233.33
5/31/1958,0,319,236.67,106.67
4/30/1958,-113,12,89.67,-120.67
3/31/1958,-272,-385,50.33,-178.33
2/28/1958,-277,-662,-271,-137.33
1/31/1958,-500,-1049,-124.67,-109
12/31/1957,-308,-1085,16,-139
11/30/1957,-174,-982,-85,-182.67
10/31/1957,-205,-687,-126.67,-81.67
9/30/1957,-171,-550,-186.67,-14.67
8/31/1957,-194,-570,43.33,-25
7/31/1957,5,-360,85.67,-155.33
6/30/1957,56,-133,-100.67,-105.33
5/31/1957,-83,-22,-205,-74.33
4/30/1957,-88,-115,6.33,80.33
3/31/1957,82,-89,-33,-32.67
2/28/1957,59,53,173.33,28.67
1/31/1957,210,351,-150.33,-237.33
12/31/1956,-42,227,44.67,102.33
11/30/1956,108,276,-230,21.67
10/31/1956,44,110,167,414
9/30/1956,173,325,-68.67,-91.33
8/31/1956,-27,190,816,-71.33
7/31/1956,676,822,-728.33,-273.33
6/30/1956,-631,18,-33,-65.67
5/31/1956,80,125,-2.33,-78.67
4/30/1956,131,-420,-82,-48.67
3/31/1956,81,292,-64.67,-16.67
2/29/1956,127,339,10,31.33
1/31/1956,192,400,-9.67,34.67
12/31/1955,170,489,52.67,21
11/30/1955,213,575,15.67,-39.33
10/31/1955,163,546,4.33,-99
9/30/1955,163,539,-44.67,-117.33
8/31/1955,155,481,-122.33,-89.67
7/31/1955,124,442,-79,-4.33
6/30/1955,197,476,-11.33,65.67
5/31/1955,278,599,13.33,134.67
4/30/1955,264,739,75.67,66
3/31/1955,286,828,163.33,62
2/28/1955,318,868,-36.67,36.67
1/31/1955,148,752,16.67,149
12/31/1954,165,631,33,151.33
11/30/1954,151,464,202.33,164.33
10/31/1954,238,554,59,150.33
9/30/1954,56,445,106.33,84.33
8/31/1954,60,354,105.67,92.67
7/31/1954,-9,107,27.33,-18
6/30/1954,-60,-9,69,94.67
5/31/1954,-70,-139,-117.33,36.33
4/30/1954,-214,-344,204,160.33
3/31/1954,22,-262,-49.67,39.67
2/28/1954,-225,-417,170,18.33
1/31/1954,-87,-290,-12.33,-158.33
12/31/1953,-234,-546,-11.33,-171.33
11/30/1953,-205,-526,-233.33,-193.33
10/31/1953,-332,-771,-77.67,-132.33
9/30/1953,-128,-665,-120.67,-65.67
8/31/1953,-121,-581,-80.67,-50.67
7/31/1953,-47,-296,1.67,-63.33
6/30/1953,17,-151,-21.33,-87
5/31/1953,29,-1,-42,-124
4/30/1953,55,101,-140.33,-85.33
3/31/1953,-38,46,-40.33,-179.67
2/28/1953,134,151,12.67,-123
1/31/1953,195,291,-304,-302.33
12/31/1952,-22,307,52.67,-64
11/30/1952,350,523,-265.67,203.33
10/31/1952,219,547,-69,643.67
9/30/1952,277,846,302,420
8/31/1952,396,892,940,54
7/31/1952,781,1454,-65,-267
6/30/1952,-139,1038,-400,-137.33
5/31/1952,-360,282,-86,-85
4/30/1952,22,-477,52.67,11.33
3/31/1952,116,-222,-143,-56.67
2/29/1952,-18,120,129.33,80
1/31/1952,226,324,-138,115
12/31/1951,-18,190,122,156.67
11/30/1951,167,375,159.33,25
10/31/1951,141,290,88.67,-85
9/30/1951,52,360,-78,-100.33
8/31/1951,-58,135,-115.67,-105
7/31/1951,-49,-55,-66.67,-124.33
6/30/1951,-3,-110,-13,-273.67
5/31/1951,112,60,-100,-142
4/30/1951,91,200,-349.33,-3
3/31/1951,-12,191,29,196.33
2/28/1951,296,375,95,72.33
1/31/1951,289,573,286,-223.33
12/31/1950,427,1012,-109.67,-310.67
11/30/1950,85,801,-347.33,-296.67
10/31/1950,70,582,-183.67,60
9/30/1950,268,423,-245.33,75.33
8/31/1950,246,584,380.67,17.67
7/31/1950,738,1252,-5.33,72
6/30/1950,371,1355,-108.67,232.33
5/31/1950,365,1474,50.67,455.33
4/30/1950,336,1072,284,90.67
3/31/1950,428,1129,638.67,230
